                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77044,                 1.0132,                0.86461,                0.88738,                      1,                  0.995,                0.84039,                0.77114,                 1.5415,                0.88241,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73414,                 1.0319,                0.87499,                0.88738,                      1,                  0.995,                0.84039,                0.77114,                 1.5415,                0.88241,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74128,                 1.1947,                0.90939,                0.87551,                      1,                  0.995,                0.83175,                0.79062,                 1.7042,                0.88459,              0.0010564,              0.0010564,              0.0010564
                     39,                0.63442,                 1.0759,                0.86681,                 0.8761,                0.94966,                  0.995,                0.81422,                0.85361,                 1.6128,                0.88933,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.7478,                 1.1288,                0.90128,                0.86712,                0.96193,                  0.995,                0.83243,                0.84384,                 1.3834,                0.89893,              0.0010234,              0.0010234,              0.0010234
                     41,                0.72829,                 1.0499,                 0.8736,                0.86712,                0.96193,                  0.995,                0.83243,                0.84384,                 1.3834,                0.89893,              0.0010069,              0.0010069,              0.0010069
                     42,                0.69103,                0.99069,                0.86693,                0.85102,                0.98129,                  0.995,                0.79458,                0.81941,                 1.1931,                0.89942,             0.00099036,             0.00099036,             0.00099036
                     43,                0.71232,                 1.0638,                0.87238,                0.87962,                 0.9856,                  0.995,                0.81536,                0.81838,                 1.0742,                0.89077,             0.00097386,             0.00097386,             0.00097386
                     44,                0.64819,                0.93002,                0.85694,                0.90927,                0.99095,                  0.995,                0.81126,                 0.8418,                 1.0524,                 0.8922,             0.00095736,             0.00095736,             0.00095736
                     45,                0.69847,                 0.9165,                0.86501,                0.90927,                0.99095,                  0.995,                0.81126,                 0.8418,                 1.0524,                 0.8922,             0.00094085,             0.00094085,             0.00094085
                     46,                0.74921,                0.96596,                0.88244,                0.91827,                0.99076,                  0.995,                0.81587,                0.80697,                 1.0474,                0.88595,             0.00092435,             0.00092435,             0.00092435
                     47,                0.65289,                 0.9607,                0.84576,                0.90873,                0.99113,                  0.995,                0.82021,                0.78793,                 1.0257,                0.88195,             0.00090785,             0.00090785,             0.00090785
                     48,                0.77118,                0.98307,                0.89939,                0.91716,                0.99186,                  0.995,                0.81994,                0.74684,                0.98124,                0.88134,             0.00089134,             0.00089134,             0.00089134
                     49,                0.66909,                0.93073,                0.86597,                0.91716,                0.99186,                  0.995,                0.81994,                0.74684,                0.98124,                0.88134,             0.00087484,             0.00087484,             0.00087484
                     50,                0.66844,                0.93466,                 0.8719,                0.92975,                0.99226,                  0.995,                0.82928,                0.73889,                0.95937,                0.87075,             0.00085834,             0.00085834,             0.00085834
                     51,                0.65359,                0.90318,                0.86006,                0.92911,                0.99204,                  0.995,                0.82268,                0.75001,                0.97052,                0.85445,             0.00084184,             0.00084184,             0.00084184
                     52,                0.73029,                0.94629,                0.87237,                0.93646,                0.99216,                  0.995,                0.80601,                0.78145,                0.99113,                0.85558,             0.00082533,             0.00082533,             0.00082533
                     53,                0.64638,                0.95286,                0.88778,                0.93646,                0.99216,                  0.995,                0.80601,                0.78145,                0.99113,                0.85558,             0.00080883,             0.00080883,             0.00080883
                     54,                0.62634,                0.86933,                0.85126,                0.93738,                0.99582,                  0.995,                0.81372,                0.78344,                 0.9998,                0.85881,             0.00079233,             0.00079233,             0.00079233
                     55,                0.59083,                0.84689,                0.86563,                0.90836,                      1,                  0.995,                0.82825,                0.79664,                0.97667,                0.86106,             0.00077582,             0.00077582,             0.00077582
                     56,                0.57542,                0.88201,                0.86164,                0.90025,                      1,                  0.995,                0.78134,                0.80857,                0.93288,                 0.8712,             0.00075932,             0.00075932,             0.00075932
                     57,                0.67576,                0.87229,                0.86575,                0.90025,                      1,                  0.995,                0.78134,                0.80857,                0.93288,                 0.8712,             0.00074282,             0.00074282,             0.00074282
                     58,                0.57474,                0.77756,                0.83654,                0.93205,                      1,                  0.995,                0.77418,                0.78583,                0.90803,                0.87267,             0.00072631,             0.00072631,             0.00072631
                     59,                0.65433,                0.83817,                0.84919,                0.95411,                      1,                  0.995,                   0.83,                0.73946,                0.88923,                0.86051,             0.00070981,             0.00070981,             0.00070981
                     60,                0.57391,                0.84726,                0.83962,                0.95671,                      1,                  0.995,                0.84154,                0.72499,                0.88875,                0.85025,             0.00069331,             0.00069331,             0.00069331
                     61,                0.58758,                0.78854,                0.84517,                0.95671,                      1,                  0.995,                0.84154,                0.72499,                0.88875,                0.85025,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.5694,                0.80679,                0.83928,                0.95764,                      1,                  0.995,                0.85081,                0.71396,                0.86182,                0.84442,              0.0006603,              0.0006603,              0.0006603
                     63,                0.56346,                 0.7686,                0.85862,                0.94909,                      1,                  0.995,                0.84244,                0.73618,                0.84721,                0.83839,              0.0006438,              0.0006438,              0.0006438
                     64,                0.57591,                0.77599,                0.85564,                 0.9479,                      1,                  0.995,                0.81208,                 0.7845,                0.83974,                0.84467,             0.00062729,             0.00062729,             0.00062729
                     65,                0.60653,                0.77261,                0.83188,                 0.9479,                      1,                  0.995,                0.81208,                 0.7845,                0.83974,                0.84467,             0.00061079,             0.00061079,             0.00061079
                     66,                0.57879,                0.80511,                 0.8503,                0.95917,                      1,                  0.995,                0.82007,                0.81477,                0.82839,                0.85639,             0.00059429,             0.00059429,             0.00059429
                     67,                0.55964,                0.76778,                0.84166,                0.97585,                      1,                  0.995,                0.81538,                 0.8054,                0.81005,                0.87499,             0.00057778,             0.00057778,             0.00057778
                     68,                0.55257,                0.82521,                0.83598,                0.98313,                      1,                  0.995,                0.81999,                0.79237,                0.77489,                0.87588,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.5924,                0.75139,                0.85232,                0.98313,                      1,                  0.995,                0.81999,                0.79237,                0.77489,                0.87588,             0.00054478,             0.00054478,             0.00054478
                     70,                0.60401,                0.73171,                0.82472,                0.98396,                      1,                  0.995,                0.85683,                0.77542,                0.80124,                0.86625,             0.00052827,             0.00052827,             0.00052827
                     71,                0.55087,                0.72427,                0.83243,                0.97827,                      1,                  0.995,                0.81756,                0.75896,                0.82352,                0.86225,             0.00051177,             0.00051177,             0.00051177
                     72,                0.56111,                0.73417,                0.83006,                0.96873,                      1,                  0.995,                0.81477,                0.77207,                0.83315,                0.86387,             0.00049527,             0.00049527,             0.00049527
                     73,                0.51747,                0.71283,                0.82765,                0.96873,                      1,                  0.995,                0.81477,                0.77207,                0.83315,                0.86387,             0.00047876,             0.00047876,             0.00047876
                     74,                0.62329,                0.77714,                0.84462,                0.96674,                      1,                  0.995,                0.81905,                0.76598,                0.81585,                0.86244,             0.00046226,             0.00046226,             0.00046226
                     75,                0.56001,                0.72934,                0.85232,                0.96824,                      1,                  0.995,                 0.8523,                0.72869,                0.79703,                0.84992,             0.00044576,             0.00044576,             0.00044576
                     76,                0.58005,                0.76061,                0.83157,                0.97167,                      1,                  0.995,                0.83026,                0.74134,                0.76238,                0.84905,             0.00042925,             0.00042925,             0.00042925
                     77,                0.52097,                0.71769,                0.82673,                0.97167,                      1,                  0.995,                0.83026,                0.74134,                0.76238,                0.84905,             0.00041275,             0.00041275,             0.00041275
                     78,                0.52822,                0.70667,                0.85114,                 0.9722,                      1,                  0.995,                0.83026,                0.76197,                0.75457,                0.84825,             0.00039625,             0.00039625,             0.00039625
                     79,                0.55168,                0.67465,                0.83788,                0.96867,                      1,                  0.995,                 0.8292,                0.76115,                0.72851,                0.84764,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.4877,                0.71233,                 0.8259,                0.96082,                      1,                  0.995,                0.82121,                0.76381,                 0.7122,                0.84398,             0.00036324,             0.00036324,             0.00036324
                     81,                0.47504,                0.68523,                0.80962,                0.96082,                      1,                  0.995,                0.82121,                0.76381,                 0.7122,                0.84398,             0.00034674,             0.00034674,             0.00034674
                     82,                0.50835,                0.67459,                0.82635,                0.95242,                      1,                  0.995,                0.81757,                 0.7651,                0.70193,                0.84609,             0.00033023,             0.00033023,             0.00033023
