                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47235,                0.59994,                0.88586,                0.84838,                0.87944,                0.95375,                0.78151,                0.62753,                 1.5009,                 1.1168,              0.0003759,              0.0003759,              0.0003759
                     36,                0.46035,                 0.6007,                 0.9105,                0.86465,                0.99062,                 0.9125,                0.73047,                0.59231,                 1.7888,                 1.1131,             0.00036336,             0.00036336,             0.00036336
                     37,                0.47268,                0.51239,                 0.8938,                0.86465,                0.99062,                 0.9125,                0.73047,                0.59231,                 1.7888,                 1.1131,              0.0003495,              0.0003495,              0.0003495
                     38,                0.45548,                 0.5351,                0.88769,                0.82153,                0.99911,                 0.9125,                0.81614,                0.49857,                 1.7809,                0.99422,             0.00033432,             0.00033432,             0.00033432
                     39,                0.45228,                0.49669,                0.92238,                0.85677,                      1,                0.95375,                0.83685,                0.54975,                 1.4248,                 1.0488,             0.00031782,             0.00031782,             0.00031782
                     40,                 0.4191,                0.47546,                0.87305,                0.85677,                      1,                0.95375,                0.83685,                0.54975,                 1.4248,                 1.0488,                 0.0003,                 0.0003,                 0.0003
                     41,                0.50705,                0.62516,                 0.9758,                0.86136,                      1,                0.95375,                0.83262,                0.60031,                 1.1277,                  1.057,             0.00028086,             0.00028086,             0.00028086
                     42,                0.49986,                0.61112,                0.94312,                0.85208,                      1,                0.95375,                0.82161,                0.60903,                 1.0206,                 1.0772,              0.0002604,              0.0002604,              0.0002604
                     43,                0.34795,                0.51578,                0.83695,                0.85208,                      1,                0.95375,                0.82161,                0.60903,                 1.0206,                 1.0772,             0.00023861,             0.00023861,             0.00023861
                     44,                0.41975,                0.58405,                0.88509,                0.86216,                      1,                0.95375,                0.87981,                0.59726,                0.79423,                 1.0559,             0.00021551,             0.00021551,             0.00021551
                     45,                0.41779,                0.48944,                0.90799,                0.86216,                      1,                0.95375,                0.87981,                0.59726,                0.79423,                 1.0559,             0.00019109,             0.00019109,             0.00019109
                     46,                0.36302,                0.51533,                0.87526,                0.87472,                0.94766,                  0.995,                0.91285,                0.52802,                0.66473,                 1.0008,             0.00016535,             0.00016535,             0.00016535
                     47,                0.36656,                0.44233,                0.90062,                0.87472,                0.94766,                  0.995,                0.91285,                0.52802,                0.66473,                 1.0008,             0.00013829,             0.00013829,             0.00013829
                     48,                0.35078,                 0.4621,                0.84763,                 0.7997,                      1,                0.95375,                0.90021,                0.49343,                0.65774,                0.96798,             0.00010991,             0.00010991,             0.00010991
                     49,                0.34543,                0.42841,                0.79997,                 0.7997,                      1,                0.95375,                0.90021,                0.49343,                0.65774,                0.96798,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                0.36184,                0.42848,                0.82172,                0.77975,                      1,                0.95375,                0.88396,                0.47086,                0.66606,                0.95005,              4.918e-05,              4.918e-05,              4.918e-05
