                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79151,                0.98895,                0.98248,                      1,                0.89184,                  0.995,                0.80253,                0.97155,                 2.2181,                 1.0866,             0.00043594,             0.00043594,             0.00043594
                     37,                0.72437,                0.88598,                0.97649,                      1,                0.89184,                  0.995,                0.80253,                0.97155,                 2.2181,                 1.0866,             0.00041931,             0.00041931,             0.00041931
                     38,                0.80622,                0.96445,                0.94694,                      1,                0.91087,                  0.995,                0.76503,                0.92067,                 2.1218,                 1.0821,              0.0004011,              0.0004011,              0.0004011
                     39,                0.77399,                 1.2151,                0.95295,                      1,                0.90821,                  0.995,                0.76503,                0.89495,                  2.107,                 1.0617,              0.0003813,              0.0003813,              0.0003813
                     40,                0.67906,                0.94852,                0.91827,                      1,                0.90821,                  0.995,                0.76503,                0.89495,                  2.107,                 1.0617,             0.00035992,             0.00035992,             0.00035992
                     41,                0.55694,                 1.1732,                0.87258,                      1,                0.92685,                  0.995,                 0.8009,                0.86143,                 2.0817,                 1.0405,             0.00033696,             0.00033696,             0.00033696
                     42,                0.62077,                 1.2589,                0.87942,                      1,                0.92231,                  0.995,                0.84532,                 0.8691,                 2.1235,                 1.0541,             0.00031241,             0.00031241,             0.00031241
                     43,                0.59476,                 1.2021,                0.88499,                      1,                0.92231,                  0.995,                0.84532,                 0.8691,                 2.1235,                 1.0541,             0.00028628,             0.00028628,             0.00028628
                     44,                0.57379,                 1.2084,                0.95889,                      1,                0.92196,                  0.995,                0.83554,                0.87252,                 2.0665,                 1.0485,             0.00025856,             0.00025856,             0.00025856
                     45,                 0.5471,                 1.3316,                 0.8634,                      1,                0.92196,                  0.995,                0.83554,                0.87252,                 2.0665,                 1.0485,             0.00022926,             0.00022926,             0.00022926
                     46,                0.58972,                 1.3282,                0.88691,                      1,                0.94321,                  0.995,                0.85554,                0.80657,                  1.945,                 1.0146,             0.00019838,             0.00019838,             0.00019838
                     47,                0.59524,                 1.1945,                0.88136,                      1,                0.94321,                  0.995,                0.85554,                0.80657,                  1.945,                 1.0146,             0.00016591,             0.00016591,             0.00016591
                     48,                0.52807,                 1.1729,                0.83078,                      1,                0.96472,                  0.995,                0.82887,                0.75285,                 1.7476,                0.98237,             0.00013186,             0.00013186,             0.00013186
                     49,                0.56247,                 1.1729,                0.85299,                      1,                0.96472,                  0.995,                0.82887,                0.75285,                 1.7476,                0.98237,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 0.5715,                 1.2499,                0.85826,                      1,                0.97563,                  0.995,                0.82887,                 0.7402,                 1.6018,                0.96886,             5.9004e-05,             5.9004e-05,             5.9004e-05
