                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0153,                 1.2569,                0.97915,                0.00333,                      1,                  0.995,                0.66101,                 1.1379,                  2.569,                 1.2039,              0.0013708,              0.0013708,              0.0013708
                     37,                0.81441,                0.93724,                0.91931,                0.00333,                      1,                  0.995,                0.66101,                 1.1379,                  2.569,                 1.2039,               0.001408,               0.001408,               0.001408
                     38,                0.77608,                 0.9267,                0.91919,                      1,                0.59965,                  0.995,                0.66283,                 1.1429,                 2.2806,                 1.2215,              0.0014451,              0.0014451,              0.0014451
                     39,                0.75177,                 1.1334,                0.93924,                      1,                0.49266,                  0.995,                0.67165,                 1.1341,                 2.4912,                 1.1765,              0.0014821,              0.0014821,              0.0014821
                     40,                0.76174,                 1.0115,                0.94393,                      1,                0.49266,                  0.995,                0.67165,                 1.1341,                 2.4912,                 1.1765,               0.001519,               0.001519,               0.001519
                     41,                0.72008,                0.87087,                0.89804,                      1,                0.42668,                  0.995,                0.63561,                 1.1508,                 2.3173,                 1.2533,              0.0015558,              0.0015558,              0.0015558
                     42,                0.72393,                0.94934,                0.89135,                0.93037,                      1,                  0.995,                0.58918,                 1.3567,                 1.9161,                 1.3696,              0.0015926,              0.0015926,              0.0015926
                     43,                0.72467,                 1.0386,                0.87738,                0.93037,                      1,                  0.995,                0.58918,                 1.3567,                 1.9161,                 1.3696,              0.0016293,              0.0016293,              0.0016293
                     44,                0.84941,                 1.0287,                 0.9411,                0.98342,                      1,                  0.995,                0.59659,                 1.3257,                 2.0028,                 1.2321,              0.0016659,              0.0016659,              0.0016659
                     45,                0.82696,                0.99599,                0.90919,                0.98342,                      1,                  0.995,                0.59659,                 1.3257,                 2.0028,                 1.2321,              0.0017025,              0.0017025,              0.0017025
                     46,                0.79262,                0.99757,                0.92279,                      1,                0.93932,                  0.995,                0.61651,                 1.2395,                  1.996,                 1.2113,              0.0017389,              0.0017389,              0.0017389
                     47,                0.81226,                 1.0453,                0.94409,                      1,                0.93932,                  0.995,                0.61651,                 1.2395,                  1.996,                 1.2113,              0.0017753,              0.0017753,              0.0017753
                     48,                 0.7937,                 1.0083,                0.94186,                      1,                0.98818,                  0.995,                 0.6205,                 1.1172,                 1.3932,                 1.2363,              0.0018116,              0.0018116,              0.0018116
                     49,                0.81575,                0.89905,                0.91933,                      1,                0.98818,                  0.995,                 0.6205,                 1.1172,                 1.3932,                 1.2363,              0.0018478,              0.0018478,              0.0018478
                     50,                 0.8196,                0.91575,                0.90341,                0.99103,                      1,                  0.995,                0.71338,                0.98231,                 1.0859,                 1.0815,               0.001884,               0.001884,               0.001884
                     51,                0.68697,                0.87797,                0.88101,                0.99103,                      1,                  0.995,                0.71338,                0.98231,                 1.0859,                 1.0815,               0.001901,               0.001901,               0.001901
                     52,                0.70201,                0.87998,                0.91479,                0.98682,                      1,                  0.995,                0.71206,                0.98115,                 1.0166,                 0.9948,               0.001899,               0.001899,               0.001899
                     53,                0.82849,                0.97066,                0.89817,                0.98682,                      1,                  0.995,                0.71206,                0.98115,                 1.0166,                 0.9948,               0.001897,               0.001897,               0.001897
                     54,                0.76632,                0.99892,                0.93083,                 0.9865,                      1,                  0.995,                0.69721,                 1.1209,                0.98345,                  1.162,              0.0018951,              0.0018951,              0.0018951
                     55,                0.79634,                0.91038,                0.92182,                 0.9865,                      1,                  0.995,                0.69721,                 1.1209,                0.98345,                  1.162,              0.0018931,              0.0018931,              0.0018931
                     56,                0.77196,                0.90474,                0.88846,                0.98696,                      1,                  0.995,                0.68615,                 1.0391,                 1.0527,                 1.1355,              0.0018911,              0.0018911,              0.0018911
                     57,                0.89641,                0.99487,                 1.0492,                0.98696,                      1,                  0.995,                0.68615,                 1.0391,                 1.0527,                 1.1355,              0.0018891,              0.0018891,              0.0018891
                     58,                 0.7191,                0.84808,                0.91409,                0.98614,                      1,                  0.995,                 0.7359,                0.89871,                 1.1481,                0.92513,              0.0018871,              0.0018871,              0.0018871
                     59,                0.79001,                0.77461,                0.92791,                0.98614,                      1,                  0.995,                 0.7359,                0.89871,                 1.1481,                0.92513,              0.0018852,              0.0018852,              0.0018852
                     60,                0.76129,                0.82159,                0.90682,                 0.9888,                      1,                  0.995,                 0.8155,                 0.8604,                 1.1236,                0.91035,              0.0018832,              0.0018832,              0.0018832
                     61,                0.69263,                0.87355,                0.92223,                 0.9888,                      1,                  0.995,                 0.8155,                 0.8604,                 1.1236,                0.91035,              0.0018812,              0.0018812,              0.0018812
                     62,                0.77026,                0.88477,                0.94913,                0.97985,                      1,                  0.995,                0.75696,                 1.0083,                 1.0462,                 0.9724,              0.0018792,              0.0018792,              0.0018792
                     63,                0.61884,                0.77712,                0.91055,                0.97985,                      1,                  0.995,                0.75696,                 1.0083,                 1.0462,                 0.9724,              0.0018772,              0.0018772,              0.0018772
                     64,                0.63208,                0.77209,                0.88741,                  0.984,                      1,                  0.995,                0.74001,                0.98513,                0.96835,                 0.9937,              0.0018753,              0.0018753,              0.0018753
                     65,                0.62057,                0.74396,                0.86044,                  0.984,                      1,                  0.995,                0.74001,                0.98513,                0.96835,                 0.9937,              0.0018733,              0.0018733,              0.0018733
                     66,                0.72661,                0.81548,                0.92445,                0.98624,                      1,                  0.995,                0.72006,                 1.0078,                 1.1855,                0.99389,              0.0018713,              0.0018713,              0.0018713
                     67,                 0.7564,                0.77008,                0.93423,                0.98624,                      1,                  0.995,                0.72006,                 1.0078,                 1.1855,                0.99389,              0.0018693,              0.0018693,              0.0018693
                     68,                0.87767,                0.95086,                0.98324,                0.94093,                      1,                  0.995,                0.65725,                0.96323,                 1.4891,                0.95284,              0.0018673,              0.0018673,              0.0018673
                     69,                0.74412,                0.79474,                0.91219,                0.94093,                      1,                  0.995,                0.65725,                0.96323,                 1.4891,                0.95284,              0.0018654,              0.0018654,              0.0018654
                     70,                0.69553,                0.79652,                0.88348,                0.95933,                      1,                  0.995,                0.71724,                0.88718,                 1.4122,                0.95732,              0.0018634,              0.0018634,              0.0018634
                     71,                0.76674,                 0.7892,                0.92441,                0.95933,                      1,                  0.995,                0.71724,                0.88718,                 1.4122,                0.95732,              0.0018614,              0.0018614,              0.0018614
                     72,                0.77442,                0.77645,                0.92491,                0.96678,                      1,                  0.995,                0.66959,                 1.0732,                  1.296,                 1.0184,              0.0018594,              0.0018594,              0.0018594
                     73,                0.65984,                0.69871,                0.88573,                0.96678,                      1,                  0.995,                0.66959,                 1.0732,                  1.296,                 1.0184,              0.0018574,              0.0018574,              0.0018574
                     74,                0.67369,                0.69693,                0.88226,                 0.9987,                      1,                  0.995,                 0.6894,                 1.0274,                 1.1911,                 1.0437,              0.0018555,              0.0018555,              0.0018555
                     75,                0.70259,                0.72688,                0.89709,                 0.9987,                      1,                  0.995,                 0.6894,                 1.0274,                 1.1911,                 1.0437,              0.0018535,              0.0018535,              0.0018535
                     76,                0.71736,                0.81234,                  0.947,                0.98079,                      1,                  0.995,                0.69214,                  0.993,                 1.0924,                 1.0202,              0.0018515,              0.0018515,              0.0018515
